IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.19.1.122,8443,443,true,FRA,Europe,Frankfurt,155.69,36.99
104.19.97.100,8443,443,true,FRA,Europe,Frankfurt,158.95,36.31
104.19.54.240,8443,443,true,FRA,Europe,Frankfurt,156.93,33.17
104.19.36.47,8443,443,true,FRA,Europe,Frankfurt,155.72,32.70
104.19.48.253,8443,443,true,FRA,Europe,Frankfurt,154.44,30.78
104.19.67.117,8443,443,true,FRA,Europe,Frankfurt,160.09,27.22
104.19.52.72,8443,443,true,FRA,Europe,Frankfurt,157.56,25.90
104.19.16.0,8443,443,true,FRA,Europe,Frankfurt,158.09,16.96
104.19.24.61,8443,443,true,FRA,Europe,Frankfurt,159.49,14.70
104.18.63.205,8443,443,true,FRA,Europe,Frankfurt,158.93,7.90
